source,address,url,rent_eur,summary,beds,baths,furnished
property.ie,"65 Fitzroy Avenue, Drumcondra, Dublin 3, Drumcondra, Dublin 3",https://www.property.ie/property-to-let/65-Fitzroy-Avenue-Drumcondra-Dublin-3-Drumcondra-Dublin-3/6453370/,3000,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished or unfurnished House to Rent",1,2,No
property.ie,"The Malthouse,marrowbone Lane,dublin 8, The Coombe, Dublin 8",https://www.property.ie/property-to-let/The-Malthousemarrowbone-Lanedublin-8-The-Coombe-Dublin-8/6453355/,1950,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"143 Merrion Road, Dublin 4",https://www.property.ie/property-to-let/143-Merrion-Road-Dublin-4/6453348/,4700,"3 bedrooms (3 double), 2 bathrooms, furnished Apartment to Rent",3,2,Yes
property.ie,"Apartment 3, Block B, Beechpark, Cabinteely, Dublin 18",https://www.property.ie/property-to-let/Apartment-3-Block-B-Beechpark-Cabinteely-Dublin-18/6453301/,2304,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Ballsbridge Wood, Shelbourne Road, Ballsbridge, Dublin 4",https://www.property.ie/property-to-let/Ballsbridge-Wood-Shelbourne-Road-Ballsbridge-Dublin-4/6453298/,3700,"2 bedrooms (2 double), 2 bathrooms, furnished House to Rent",2,2,Yes
property.ie,"Buckingham Street Lower, Dublin 1, Dublin 1",https://www.property.ie/property-to-let/Buckingham-Street-Lower-Dublin-1-Dublin-1/6453274/,2400,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Greendale Road, Kilbarrack, Dublin 5, Kilbarrack, Dublin 5",https://www.property.ie/property-to-let/Greendale-Road-Kilbarrack-Dublin-5-Kilbarrack-Dublin-5/6453250/,3500,"4 bedrooms, 2 bathrooms, furnished House to Rent",4,2,Yes
property.ie,"Apartment 4, 16 Grove Park, Rathmines, Dublin 6",https://www.property.ie/property-to-let/Apartment-4-16-Grove-Park-Rathmines-Dublin-6/6453196/,1287,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Taylor Hill Grange, Balbriggan, Balbriggan, Co. Dublin",https://www.property.ie/property-to-let/Taylor-Hill-Grange-Balbriggan-Balbriggan-Co-Dublin/6452856/,2650,"3 bedrooms (3 double), 3 bathrooms, furnished House to Rent",3,3,Yes
property.ie,"Apartment 15, Easra Court, Donnycarney, Dublin 5",https://www.property.ie/property-to-let/Apartment-15-Easra-Court-Donnycarney-Dublin-5/6453161/,2625,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Apartment 63, Easra Court, Donnycarney, Dublin 5",https://www.property.ie/property-to-let/Apartment-63-Easra-Court-Donnycarney-Dublin-5/6453202/,2365,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 6, 55 Rathmines Road Upper, Rathmines, Dublin 6",https://www.property.ie/property-to-let/Apartment-6-55-Rathmines-Road-Upper-Rathmines-Dublin-6/6453182/,1452,Studio (1 single) Studio apartment to Rent,1,1,Unknown
