source,address,url,rent_eur,summary,beds,baths,furnished
daft.ie,"Castle Walk, Castle Way, Cherrywood, Co. Dublin",https://www.daft.ie/for-rent/castle-walk-castle-way-cherrywood-co-dublin/4004275,2750,Walking distance to Luas,2,2,Unknown
daft.ie,"Jameson Orchard, Jameson Orchard Road, Malahide, Co. Dublin",https://www.daft.ie/for-rent/jameson-orchard-jameson-orchards-malahide-co-dublin/5852459,2955,Houses Avilable to Rent,3,2,Unknown
daft.ie,"Adamstown, Lucan, Lucan, Co. Dublin",https://www.daft.ie/for-rent/adamstown-lucan-lucan-co-dublin/3251738,2229,Superb Living,2,2,Unknown
daft.ie,"Shackleton Glebe, Shackleton Glebe, Lucan, Co. Dublin",https://www.daft.ie/for-rent/shackleton-glebe-shackleton-glebe-lucan-co-dublin/4092985,1987,Outstanding Living,1,1,Unknown
daft.ie,"Occu East Village, Leopardstown, Dublin 18, Clay Farm Drive, Leopardstown, Dublin 18",https://www.daft.ie/for-rent/occu-east-village-leopardstown-dublin-18-clay-farm-drive-leopardstown-dublin-18/5341471,2250,Better Renting. That's Different.,1,1,Unknown
daft.ie,"U HX, Harolds Cross Road, Dublin 6W",https://www.daft.ie/for-rent/u-hx-harolds-cross-road-dublin-6w/4479084,2430,A place U want to call Home ,1,1,Unknown
daft.ie,"Coopers Cross, Mayor Street Upper, Dublin 1",https://www.daft.ie/for-rent/coopers-cross-mayor-street-upper-dublin-1/5374211,2035,Life with you at the centre,1,1,Unknown
daft.ie,"Elmville , Harolds Cross Road, Harolds Cross, Dublin 6W",https://www.daft.ie/for-rent/elmville-harolds-cross-road-harolds-cross-dublin-6w/4279082,2487,Selection of spacious 1 & 2 bed apartments. Tastefully furnished & decorated to create luxury living,1,1,Yes
daft.ie,"Drumkeen, Glenamuck Road, Carrickmines, Dublin 18",https://www.daft.ie/for-rent/drumkeen-glenamuck-road-carrickmines-dublin-18/5646011,4000,Exceptional family homes in the heart of Carrickmines.,4,4,Unknown
daft.ie,"The Cornerstone, Lower Kilmacud Road, Stillorgan, Co. Dublin",https://www.daft.ie/for-rent/the-cornerstone-stillorgan-stillorgan-co-dublin/5650337,2297,Discover your perfect lifestyle in the heart of a vibrant village.,1,1,Unknown
